title	abstract	keywords	discipline	category
谷物联合收获机自动测产系统设计-基于变权分层激活扩散模型	为了使联合收割机具有自动测产功能，提出了一种基于变权分层激活扩散的产量预测误差剔除模型，并使用单片机设计了联合收获机测产系统。测产系统的主要功能是：在田间进行作业时，收割机可以测出当前的运行速度、收获面积及谷物的总体产量。数据的采集使用霍尔传感器和电容压力传感器，具有较高的精度。模拟信号的处理选用了 ADC0804差分式 A／D转换芯片，可以有效地克服系统误差，数据传送到单片机处理中心，对每一次转换都进行一次判断，利用变权分层激活扩散模型剔除误差较大的数据，通过计算将数据最终在LCD显示屏进行显示。将系统应用在了收割机上，通过测试得到了谷物产量的测量值，并与真实值进行比较，验证了系统的可靠性。	联合收割机_测产系统_变权分层_激活扩散	农业工程	工学
酞菁改性聚苯乙炔高分子的微波介电性能研究	针对电磁环境的严重污染,克服目前电磁屏蔽的弊端,用吸波材料从根本上消除电磁污染是关注的方向.本文基于分子设计的思路,在聚苯乙炔侧链引入酞菁基团对其化学改性,并对其性能作了初步的探索.研究结果表明这种改良的新型高分子具有较好的吸波性能.	酞菁铁_聚苯乙炔_吸波材料	化学/化学工程与技术	工学
农用运输车柴油机排放控制探讨	介绍了农用柴油机排放的生成机理,探讨了控制农用柴油机排放的具体措施,并对今后控制农用柴油机排放技术的趋向做了展望.	农用柴油机_排放_控制技术	农业工程	工学
点式安装玻璃幕墙在火灾中的破裂行为	使用500,mm×500,mm正庚烷池火作为火源，通过全尺寸实验研究了1,200,mm×1,200,mm×6,mm的点式安装玻璃在火灾中的破裂行为。实验记录并分析了裂纹起裂时间和扩展方式、热释放速率、玻璃中心点空气温度、向火面和背火面温度以及玻璃脱落比例。同时使用有限元分析法，模拟研究了点式安装玻璃幕墙受热时的热应力分布及起裂特性，得到玻璃在热载荷作用下的破裂行为，并通过应力分布分析了此类型玻璃幕墙破裂的内在致因。	点式安装玻璃幕墙_火灾_破裂行为_全尺寸实验_有限元方法	动力工程及工程热物理	工学
火箭橇多路时序点火控制系统设计	为了解决火箭橇试验中橇体长时间巡航运动的问题,采取了火箭发动机橇载多路时序点火控制的方法,分别从控制方法、系统的远程控制、远程检测、自动断电、硬件电路设计、软件程序设计、系统封装、系统的可靠性验证、系统安装等方面进行论述.该橇载点火控制系统可根据试验时序要求,控制不同的火箭发动机按要求的时序工作,使火箭橇运行速度达到设计的弹道要求.	时序点火_远程控制_控制信号_时间精度_可靠性	兵器科学与技术	工学
RBF神经网络在冷轧APC系统的实验研究	在冷轧板带的控制中,针对液压APC系统多变量、高阶次和时变性等特点,提出一种引入记忆因子(Memory Factor,MF)的RBF神经网络.为提高网络精度,采用改进的混洗蛙跳算法(Improved Shuffled Frog Leaping Algorithm,ISFLA)全优化MF-RBF神经网络,并把优化前后的神经网络进行CFC(Continuous Functional Diagram)封装,得到基于ISFLA全优化的MF-RBF神经网络智能控制器.分析轧制厚控APC系统的原理及组成,采用机理方法建立液压APC系统数学模型,并搭建模拟电路作负载,将上述控制器在西门子FM458平台进行实验研究.通过将各控制器的实验结果作比较,发现ISFLA优化后的MF-RBFNN控制器的响应速度快、精度高、适应性好,具有较高的实际应用价值.	RBF神经网络_记忆因子_混洗蛙跳算法_CFC_FM458	机械工程	工学
同轴静电纺丝制备聚丙烯腈多孔中空超细纤维	为制备较理想的多孔中空结构纤维,以聚丙烯腈/聚乙烯吡咯烷酮/N,N-二甲基甲酰胺溶液作为皮层纺丝液,先后以聚乙烯吡咯烷酮/N,N-二甲基甲酰胺溶液,聚氧化乙烯/N,N-二甲基甲酰胺溶液和聚乙烯吡咯烷酮/乙醇溶液为芯层纺丝液,进行同轴纺丝制备复合纤维,然后分别在去离子水中经超声振荡析出水溶性高聚物,所得纤维由场发射扫描电镜(FESEM)进行表征.结果表明:以聚乙烯吡咯烷酮/N,N-二甲基甲酰胺溶液为芯层纺丝液时,同轴纺丝并经过后处理得到的纤维孔和中空结构都比较少;而以聚氧化乙烯/N,N-二甲基甲酰胺溶液为芯层纺丝液时只能得到具有致密多孔结构的纤维;只有以聚乙烯吡咯烷酮/乙醇溶液为芯层纺丝液时可以制备聚丙烯腈多孔中空超细纤维.	同轴静电纺丝_聚丙烯腈_聚乙烯吡咯烷酮_聚氧化乙烯_多孔中空超细纤维	纺织科学与工程	工学
黄土高原一次超级单体短时强降水中尺度分析	2012年盛夏陕西绥德县出现短时强降水,4h雨量超过100 mm.利用NCEP 1°×1°再分析资料进行诊断分析发现,在陕北东北部对流层中下层有一中α尺度气旋存在,且随高度向东北倾斜,垂直方向上形成次级环流,使强降水区的上升运动加剧.分析地面观测、卫星资料发现,西路冷空气引导干侵入加强层结不稳定性,东路冷空气楔形抬升作用,使得不稳定能量释放;同时,在东西两路干冷空气的夹击作用下,绥德县内形成中气旋,暖湿空气在当地得以聚集上升;2个中β尺度对流云团在东西路风场作用下合并后迅速增强.多普勒雷达资料显示,2个中γ尺度的超级单体回波在绥德先后发展形成列车效应;2个超级单体中的中气旋特征各有不同,是回波结构演变的主要原因.	强降水超级单体_中气旋_干侵入_次级环流	大气科学	理学
城市道路绿化景观分析研究	随着我国城市化步伐的加快,人们对周围环境质量的要求逐步提高.城市道路绿化景观逐渐被城市融合,成为城市建设的重要组成部分.城市道路绿化景观的质量反映着整个城市的经济发展水平和精神风貌,同时也体现着整个城市公民的文化素质.本文在分析城市道路绿化景观的构成及作用的基础上,客观地反映了我国目前城市道路绿化景观的总体现状、存在的问题,并提出了相应的建议,希望能推动我国城市化的步伐,满足公民的生活需求.	道路_景观_绿化_建议	园艺学	农学
"共创中华逻辑科学繁荣发展的时代--首次"两岸逻辑教学学术会议"述要"	"2002年6月28～30日,由台湾大学哲学系和中正大学哲学系联合主办的"两岸逻辑教学学术会议"在台湾大学举行.大陆学者10人、香港学者4人和台湾逻辑学界50余位学者应邀出席会议.正如主办方撰写的"会议计划书"所言:"两岸逻辑教学与研究,向来各行其是,鲜有来往.而两岸之逻辑教学与研究,无论在品质、数量、方法、经验,以及与中国语文和文化的会通上,均有其独到而特殊之处",因此亟须交流与沟通."	逻辑科学_繁荣发展_时代_逻辑教学_教学与研究_大陆学者_台湾_学术会议_大学_交流与沟通_哲学_联合主办_中国_语文_学界_香港_文化_品质_经验_方法	哲学	哲学
大型管壳式换热器的随机响应分析	换热器管束的振动破坏问题是严重影响换热器运行安全性的一个关键问题.根据随机振动理论对管壳式换热器流体诱导管束振动进行了分析,建立换热器管束振动的力学模型,确定流体激振力分布,应用随机振动理论推导出换热器管束振动随机响应的均方根和谱密度.研究表明,采用随机振动理论可以较好地预测管壳式换热器管束流体诱导振动;纵向流换热器与折流板换热器相比,具有优异的抗振性能.	换热器_管束_流体诱导振动_随机响应	力学	工学
